Condition ID,Condition,Kinase,Directionality,Pubmed,Time (min)
1288_272,AKTi (Akt inhibitor VIII),AKT1,down,26060313,
1289_272,AKTi (MK-2206),AKT1,down,26060313,
318_87,anti-CD3,PRKCA,up,10733597,0.0
321_87,anti-CD3,PRKCA,up,10733597,5.0
327_87,anti-CD3,PRKCA,up,10733597,20.0
324_87,anti-CD3,PRKCA,up,10733597,10.0
1329_278,anti-CD3 + anti-CD28,PRKCA,up,10733597,15.0
1330_278,anti-CD3 + anti-CD28,PRKCA,up,10733597,30.0
1332_278,anti-CD3 + anti-CD28,PRKCA,up,10733597,120.0
1329_279,anti-CD3 + anti-CD28,PRKCA,up,10733597,15.0
1330_279,anti-CD3 + anti-CD28,PRKCA,up,10733597,30.0
1331_278,anti-CD3 + anti-CD28,PRKCA,up,10733597,60.0
1332_279,anti-CD3 + anti-CD28,PRKCA,up,10733597,120.0
1331_279,anti-CD3 + anti-CD28,PRKCA,up,10733597,60.0
696_222,ATR inhibitor (VE-821),ATR,down,25003641,
111_45,BI 4834 (on Mitosis Nocodazole),PLK1,down,21857030,15.0
1291_272,CAMK2i (KN-62),CAMK2A,down,26060313,
1290_272,CAMK2i (KN-93),CAMK2A,down,26060313,
186_57,Crizotinib,ALK,down,23898821,
186_60,Crizotinib,ALK,down,23898821,
408_132,Dasatinib (50 nM),MAPK1,down,19651622,
405_132,Dasatinib (50 nM),MAPK1,down,19651622,
408_132,Dasatinib (50 nM),MAPK3,down,19651622,
405_132,Dasatinib (50 nM),MAPK3,down,19651622,
408_132,Dasatinib (50 nM),LCK,down,17962511,
405_132,Dasatinib (50 nM),LCK,down,17962511,
408_132,Dasatinib (50 nM),ABL,down,17962511,
405_132,Dasatinib (50 nM),ABL,down,17962511,
24_3,Differentiation (PMA),PRKCA,up,21406692,1440.0
21_3,Differentiation (PMA),PRKCA,up,21406692,360.0
18_3,Differentiation (PMA),PRKCA,up,21406692,60.0
15_3,Differentiation (PMA),PRKCA,up,21406692,30.0
