Condition ID,Description,Control,Time (min),PMID,Organism,Biological Sample,Labelling Type,Labelling Method,Spectrometer,Enrichment,Condition label,Total Sites In Atlas
12_3,Differentiation (NCM),Undifferentiated (Conditioned medium),1440.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (NCM)_1440.00m,11379
15_3,Differentiation (PMA),Undifferentiated (Conditioned medium),30.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (PMA)_vs_Undifferentiated (Conditioned medium)_30.00m,10717
18_3,Differentiation (PMA),Undifferentiated (Conditioned medium),60.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (PMA)_vs_Undifferentiated (Conditioned medium)_60.00m,10697
21_3,Differentiation (PMA),Undifferentiated (Conditioned medium),360.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (PMA)_vs_Undifferentiated (Conditioned medium)_360.00m,10652
24_3,Differentiation (PMA),Undifferentiated (Conditioned medium),1440.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (PMA)_vs_Undifferentiated (Conditioned medium)_1440.00m,10638
3_3,Differentiation (NCM),Undifferentiated (Conditioned medium),30.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (NCM)_30.00m,12797
6_3,Differentiation (NCM),Undifferentiated (Conditioned medium),60.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (NCM)_60.00m,11440
9_3,Differentiation (NCM),Undifferentiated (Conditioned medium),360.0,21406692,9606,hESC (Odense-3 and HUES9),metabolic,SILAC,Orbitrap,TiO2,Differentiation (NCM)_360.00m,12734
96_36,Erlotinib,Untreated,0.0,22115753,9606,AML KG-1,metabolic,SILAC,LTQ Orbitrap,IMAC,Erlotinib,9377
99_36,Gefitinib,Untreated,0.0,22115753,9606,AML KG-1,metabolic,SILAC,LTQ Orbitrap,IMAC,Gefitinib,9365
111_45,BI 4834 (on Mitosis Nocodazole),Mitosis (Nocodazole),15.0,21857030,9606,HeLa,chemical,Methyl esterification,LTQ-FT Ultra or LTQ Orbitrap XL,IMAC,BI 4834 (on Mitosis Nocodazole),4989
114_48,Starved,Insulin,,21659604,9606,HEK-293,chemical,iTRAQ,QSTAR Elite,IMAC,Starved,3881
117_48,Torin1,Insulin,,21659604,9606,HEK-293,chemical,iTRAQ,QSTAR Elite,IMAC,Torin1,3881
120_48,Rapamycin,Insulin,,21659604,9606,HEK-293,chemical,iTRAQ,QSTAR Elite,IMAC,Rapamycin,3881
123_51,TSC2+/+ + Torin1,Vehicle,,21659604,9606,MEF,chemical,iTRAQ,QSTAR Elite,IMAC,TSC2+/+ + Torin1,2025
126_51,TSC2-/-,Vehicle,,21659604,9606,MEF,chemical,iTRAQ,QSTAR Elite,IMAC,TSC2-/-,2025
129_51,TSC2-/- + Torin1,Vehicle,,21659604,9606,MEF,chemical,iTRAQ,QSTAR Elite,IMAC,TSC2-/- + Torin1,2025
186_57,Crizotinib,Untreated,,23898821,9606,NSCLC,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,Crizotinib,16837
189_57,Untreated,Untreated,,23898821,9606,NSCLC,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,Untreated_vs_Untreated,18189
192_57,Untreated,Crizotinib,,23898821,9606,NSCLC,metabolic,SILAC,Orbitrap (Q Exactive),IMAC,Untreated_vs_Crizotinib,16885
186_60,Crizotinib,Untreated,,23898821,9606,NSCLC,chemical,mTRAQ,Orbitrap (Q Exactive),IMAC,Crizotinib,17069
189_60,Untreated,Untreated,,23898821,9606,NSCLC,chemical,mTRAQ,Orbitrap (Q Exactive),IMAC,Untreated_vs_Untreated,18267
192_60,Untreated,Crizotinib,,23898821,9606,NSCLC,chemical,mTRAQ,Orbitrap (Q Exactive),IMAC,Untreated_vs_Crizotinib,16975
240_63,EGF,Untreated,15.0,19651622,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,EGF_15.00m,4911
243_63,EGF + SB202190,Untreated,15.0,19651622,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,EGF + SB202190_vs_Untreated,4891
246_63,EGF + SB202190,EGF,15.0,19651622,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,EGF + SB202190_vs_EGF,4908
240_66,EGF,Untreated,15.0,19651622,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,EGF_15.00m,4123
252_66,EGF + U0126,Untreated,15.0,19651622,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,EGF + U0126_vs_Untreated,4108
255_66,EGF + U0126,EGF,15.0,19651622,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,EGF + U0126_vs_EGF,4122
267_72,Mitosis (Nocodazole),Async cells,,18669648,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2_IMAC,Mitosis (Nocodazole),7914
72_72,G1_S (Thymidine),Async cells,0.0,18669648,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2_IMAC,G1_S (Thymidine),6241
270_75,Mitosis (Taxol),Untreated,,21712546,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,Mitosis (Taxol),15520
273_75,Mitosis (MLN8054 0_25 microM),Untreated,,21712546,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,Mitosis (MLN8054 0_25 microM),17653
276_75,Mitosis (MLN8054 1 microM),Untreated,,21712546,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,Mitosis (MLN8054 1 microM),20867
279_75,Mitosis (MLN8054 5 microM),Untreated,,21712546,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,Mitosis (MLN8054 5 microM),14843
282_75,Mitosis (AZD1152),Untreated,,21712546,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,Mitosis (AZD1152),22826
285_75,Mitosis (BI2536),Untreated,,21712546,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,Mitosis (BI2536),15032
288_75,Mitosis (short Taxol + BI2536),Untreated,,21712546,9606,HeLa,metabolic,SILAC,LTQ Orbitrap,TiO2,Mitosis (short Taxol + BI2536),14629
714_78,EGF,Untreated,5.0,21955146,9606,HeLa,metabolic,SILAC,LTQ Orbitrap XL,TiO2_IMAC,EGF_5.00m,5563
294_81,Shigella infection,Uninfected,15.0,23828894,9606,HeLa,free,,LTQ Orbitrap,TiO2,Shigella infection_15.00m,2958
297_81,Shigella infection,Uninfected,30.0,23828894,9606,HeLa,free,,LTQ Orbitrap,TiO2,Shigella infection_30.00m,2958
300_81,Shigella infection,Uninfected,60.0,23828894,9606,HeLa,free,,LTQ Orbitrap,TiO2,Shigella infection_60.00m,2958
